Serial,direccion,Dirección del Inmueble,Colonia,Estado,Código postal
280,"Crepúsculo 5 col.insurgentes Cuicuilco, CDMX c.p. 04530, -","Crepúsculo 5 col.insurgentes Cuicuilco, CDMX c.p. 04530",INSURGENTES CUICUILCO,-,-
281,"Luis Vives, 206, Los Morales Polanco, Ciudad de México, 11510, -","Luis Vives, 206, Los Morales Polanco, Ciudad de México, 11510",LOS MORALES POLANCO,-,-
282,"Amsterdam 254, hipódromo condesa, -","Amsterdam 254, hipódromo condesa",HIPÓDORMO CONDESA,-,-
283,"Rio Zula 60-C Col. Paseos de Churubusco ,Iztapalapa 06300, -","Rio Zula 60-C Col. Paseos de Churubusco ,Iztapalapa 06300",PASEOS DE CHURUBUSCO,-,-
284,"Medellín 329, -",Medellín 329,ROMA SUR,-,-
285,"Benito Juarez 23, Ex ejido de santa ursula coapa, CDMX, 04850, -","Benito Juarez 23, Ex ejido de santa ursula coapa, CDMX, 04850",EX EJIDO DE SNATA URSULA COAPA,-,-
286,"Calle nueces #161 col. Nueva Santa María C.p 02800 Delg. Azcapotzalco, -",Calle nueces #161 col. Nueva Santa María C.p 02800 Delg. Azcapotzalco,NUEVA SANTA MARÍA,-,-
287,"Dr Vertiz 1204 Col Vertiz Narvarte cp03600, -",Dr Vertiz 1204 Col Vertiz Narvarte cp03600,VERTIZ NARVARTE,-,-
288,"Alfonso reyes 180 departamento 302, -",Alfonso reyes 180 departamento 302,Condesa,-,-
290,"Bosque de tabachines 204, bosques de las lomas, cuajimalpa, CDMX, -","Bosque de tabachines 204, bosques de las lomas, cuajimalpa, CDMX",BOSQUES DE LAS LOMAS,-,-
291,"Torres Quintero 221 san miguel Iztapalapa 09360, -",Torres Quintero 221 san miguel Iztapalapa 09360,SAN MIGUEL,-,-
293,"Av. Álvaro Obregón No 121, Col. Roma Norte, Cuauhtémoc, México DF, -","Av. Álvaro Obregón No 121, Col. Roma Norte, Cuauhtémoc, México DF",Roma Norte,-,-
294,"Av. Revolución 1297-8 Col campestre san Ángel. Ciudad de México cp 01040, -",Av. Revolución 1297-8 Col campestre san Ángel. Ciudad de México cp 01040,CAMPESTRE SAN ANGEL,-,-
295,"Ben jamin Franklin 232, colonia Escandón, -","Ben jamin Franklin 232, colonia Escandón",Escandon,-,-
